Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2019,1,1,0,0,0,0,0,0,0,0,0,0,76.1957281,76.1957281,346.0272491,346.0272491,545.9448154,545.9448154,586.6582678,586.6582678,659.215168,659.215168,671.4336055,671.4336055,651.9607868,651.9607868,607.140556,607.140556,614.2754571,614.2754571,532.1011338,532.1011338,507.5166134,507.5166134,490.6868076,490.6868076,336.3072996,336.3072996,154.2804003,154.2804003,0,0,0,0,0,0,0,0,0,0
2019,1,2,0,0,0,0,0,0,0,0,0,0,68.16393625,68.16393625,355.9243584,355.9243584,604.515378,604.515378,718.980677,718.980677,742.4014649,742.4014649,712.5387199,712.5387199,695.1344994,695.1344994,636.4983869,636.4983869,664.9878135,664.9878135,600.1797781,600.1797781,569.687825,569.687825,458.5166499,458.5166499,332.1542111,332.1542111,142.1211046,142.1211046,0,0,0,0,0,0,0,0,0,0
2019,1,3,0,0,0,0,0,0,0,0,0,0,36.82005283,36.82005283,226.8935854,226.8935854,428.990006,428.990006,552.7949398,552.7949398,589.2137146,589.2137146,616.6022927,616.6022927,611.6749741,611.6749741,602.5953426,602.5953426,673.6645942,673.6645942,545.7937334,545.7937334,467.7434824,467.7434824,425.8302016,425.8302016,302.6655481,302.6655481,96.06953955,96.06953955,0,0,0,0,0,0,0,0,0,0
2019,1,4,0,0,0,0,0,0,0,0,0,0,60.17031534,60.17031534,357.8851564,357.8851564,580.3624647,580.3624647,630.5584851,630.5584851,739.4702024,739.4702024,742.6032915,742.6032915,710.9627677,710.9627677,698.451013,698.451013,668.0924926,668.0924926,619.9541668,619.9541668,535.046221,535.046221,434.8803348,434.8803348,316.3608415,316.3608415,128.5480862,128.5480862,0,0,0,0,0,0,0,0,0,0
2019,1,5,0,0,0,0,0,0,0,0,0,0,27.75038975,27.75038975,161.6994928,161.6994928,288.5411591,288.5411591,371.5259396,371.5259396,513.4610855,513.4610855,557.9344764,557.9344764,555.0361074,555.0361074,603.3640281,603.3640281,496.5756562,496.5756562,381.302562,381.302562,446.3767857,446.3767857,342.1934327,342.1934327,250.969126,250.969126,96.3744842,96.3744842,0,0,0,0,0,0,0,0,0,0
2019,1,6,0,0,0,0,0,0,0,0,0,0,40.93107186,40.93107186,340.2077873,340.2077873,577.3445827,577.3445827,704.9409256,704.9409256,764.1733025,764.1733025,777.4082414,777.4082414,758.683696,758.683696,742.9612287,742.9612287,707.3002164,707.3002164,644.5834811,644.5834811,647.7724427,647.7724427,527.9741483,527.9741483,400.0247368,400.0247368,174.353871,174.353871,0,0,0,0,0,0,0,0,0,0
2019,1,7,0,0,0,0,0,0,0,0,0,0,24.61126708,24.61126708,256.7514893,256.7514893,465.9913268,465.9913268,602.5882767,602.5882767,668.5251411,668.5251411,704.3775074,704.3775074,636.712656,636.712656,625.0290162,625.0290162,618.6957285,618.6957285,616.650309,616.650309,587.3744318,587.3744318,518.0988973,518.0988973,346.0270201,346.0270201,116.4279946,116.4279946,0,0,0,0,0,0,0,0,0,0
2019,1,8,0,0,0,0,0,0,0,0,0,0,18.42589111,18.42589111,213.4249427,213.4249427,290.4470057,290.4470057,559.9102604,559.9102604,715.0869988,715.0869988,677.8521805,677.8521805,650.2347069,650.2347069,728.1909603,728.1909603,627.1560475,627.1560475,481.0299554,481.0299554,300.3596213,300.3596213,462.4496741,462.4496741,277.6225919,277.6225919,145.8692379,145.8692379,0,0,0,0,0,0,0,0,0,0
2019,1,9,0,0,0,0,0,0,0,0,0,0,22.5062113,22.5062113,299.2257652,299.2257652,554.0792435,554.0792435,706.4624056,706.4624056,780.238736,780.238736,787.6623387,787.6623387,771.9459814,771.9459814,704.8703892,704.8703892,641.0954063,641.0954063,579.2622096,579.2622096,531.8894544,531.8894544,507.8085408,507.8085408,302.9111542,302.9111542,138.6853348,138.6853348,0,0,0,0,0,0,0,0,0,0
2019,1,10,0,0,0,0,0,0,0,0,0,0,22.44201585,22.44201585,318.8838228,318.8838228,600.6388779,600.6388779,701.3546628,701.3546628,755.7464187,755.7464187,782.4124286,782.4124286,770.9213941,770.9213941,739.2279333,739.2279333,657.3549299,657.3549299,400.1782347,400.1782347,299.6618746,299.6618746,308.4479089,308.4479089,241.698898,241.698898,156.5420652,156.5420652,0,0,0,0,0,0,0,0,0,0
