Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2018,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663529881,0.0663529881,0.564232676,0.564232676,0.8379771566,0.8379771566,0.9247260132,0.9247260132,0.9102719977,0.9102719977,0.8997337039,0.8997337039,0.859750237,0.859750237,0.7869781487,0.7869781487,0.5614943181,0.5614943181,0.113128112,0.113128112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236059873,0.0236059873,0.2618495406,0.2618495406,0.5821177171,0.5821177171,0.3428083152,0.3428083152,0.1395241782,0.1395241782,0.2157585985,0.2157585985,0.8002579208,0.8002579208,0.4540149562,0.4540149562,0.2251007041,0.2251007041,0.0283673054,0.0283673054,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0674533041,0.0674533041,0.5277983132,0.5277983132,0.7515810259,0.7515810259,0.8955971257,0.8955971257,0.8999768071,0.8999768071,0.6159146878,0.6159146878,0.8815694214,0.8815694214,0.7848192118,0.7848192118,0.5557552726,0.5557552726,0.1222001366,0.1222001366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599428068,0.0599428068,0.4807106986,0.4807106986,0.7731280154,0.7731280154,0.8962410721,0.8962410721,0.9018284173,0.9018284173,0.9004914005,0.9004914005,0.8507646826,0.8507646826,0.7832614392,0.7832614392,0.5651216381,0.5651216381,0.1318883244,0.1318883244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067455871,0.067455871,0.5200171008,0.5200171008,0.7344220729,0.7344220729,0.8515132188,0.8515132188,0.925453108,0.925453108,0.8904110265,0.8904110265,0.8785514195,0.8785514195,0.5996801307,0.5996801307,0.3612661334,0.3612661334,0.0925559409,0.0925559409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619961877,0.0619961877,0.4939716466,0.4939716466,0.7858897715,0.7858897715,0.8932883004,0.8932883004,0.5555854527,0.5555854527,0.8383535386,0.8383535386,0.1378672518,0.1378672518,0.3651826605,0.3651826605,0.1326226669,0.1326226669,0.0235194668,0.0235194668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211504445,0.0211504445,0.2227029926,0.2227029926,0.13225464,0.13225464,0.1827981441,0.1827981441,0.1531083578,0.1531083578,0.2099554301,0.2099554301,0.1384573431,0.1384573431,0.5113178343,0.5113178343,0.096811695,0.096811695,0.017546247,0.017546247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068547973,0.0068547973,0.1093075175,0.1093075175,0.1428379304,0.1428379304,0.1807714794,0.1807714794,0.2078957477,0.2078957477,0.1908582959,0.1908582959,0.1373333309,0.1373333309,0.214588583,0.214588583,0.0894504823,0.0894504823,0.0158040482,0.0158040482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102760242,0.0102760242,0.1157860395,0.1157860395,0.1786641831,0.1786641831,0.2777370089,0.2777370089,0.289830156,0.289830156,0.3137428458,0.3137428458,0.2576831659,0.2576831659,0.1131891143,0.1131891143,0.064605112,0.064605112,0.0117106145,0.0117106145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863713774,0.0863713774,0.5522770357,0.5522770357,0.8277854484,0.8277854484,0.9255562884,0.9255562884,0.9388113979,0.9388113979,0.9285285889,0.9285285889,0.8832901687,0.8832901687,0.7890791032,0.7890791032,0.5401446297,0.5401446297,0.1895574174,0.1895574174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
