Datetime,CopperPlateBalance,ReserveDual,bayswater_reserves,tallawarra_reserves,tallawarra_mw
2019-01-01T00:05:00.0,4.0,5.0,20.0,30.0,925.8800000000001
2019-01-01T00:10:00.0,4.0,5.0,20.0,30.0,925.8800000000001
2019-01-01T00:15:00.0,4.0,5.0,20.0,30.0,925.8800000000001
2019-01-01T00:20:00.0,4.0,5.0,20.0,30.0,925.8800000000001
2019-01-01T00:25:00.0,4.0,5.0,20.0,30.0,925.8800000000001
2019-01-01T00:30:00.0,4.0,5.0,20.0,30.0,925.8800000000001
2019-01-01T00:35:00.0,4.0,5.0,20.0,30.0,893.9899999999998
2019-01-01T00:40:00.0,4.0,5.0,20.0,30.0,862.1099999999997
2019-01-01T00:45:00.0,4.0,5.0,20.0,30.0,830.2200000000003
2019-01-01T00:50:00.0,4.0,5.0,20.0,30.0,798.3400000000001
2019-01-01T00:55:00.0,4.0,5.0,20.0,30.0,766.4499999999998
2019-01-01T01:00:00.0,4.0,5.0,20.0,30.0,734.5699999999997
2019-01-01T01:05:00.0,4.0,5.0,20.0,30.0,700.0699999999997
2019-01-01T01:10:00.0,4.0,5.0,20.0,30.0,665.5699999999997
2019-01-01T01:15:00.0,4.0,5.0,20.0,30.0,631.0699999999997
2019-01-01T01:20:00.0,4.0,5.0,20.0,30.0,596.5799999999999
2019-01-01T01:25:00.0,4.0,5.0,20.0,30.0,562.0799999999999
2019-01-01T01:30:00.0,4.0,5.0,20.0,30.0,527.5799999999999
2019-01-01T01:35:00.0,4.0,5.0,20.0,30.0,485.5600000000004
2019-01-01T01:40:00.0,4.0,5.0,20.0,30.0,443.52999999999975
2019-01-01T01:45:00.0,4.0,5.0,20.0,30.0,401.5100000000002
2019-01-01T01:50:00.0,4.0,5.0,20.0,30.0,359.47999999999956
2019-01-01T01:55:00.0,4.0,5.0,20.0,30.0,317.46000000000004
2019-01-01T02:00:00.0,4.0,5.0,20.0,30.0,275.4300000000003
2019-01-01T02:05:00.0,4.0,5.0,20.0,30.0,247.39000000000033
2019-01-01T02:10:00.0,4.0,5.0,20.0,30.0,219.35000000000036
2019-01-01T02:15:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T02:20:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T02:25:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T02:30:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T02:35:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T02:40:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T02:45:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T02:50:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T02:55:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T03:00:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T03:05:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T03:10:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T03:15:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T03:20:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T03:25:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T03:30:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T03:35:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T03:40:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T03:45:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T03:50:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T03:55:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T04:00:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T04:05:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T04:10:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T04:15:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T04:20:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T04:25:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T04:30:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T04:35:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T04:40:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T04:45:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T04:50:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T04:55:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T05:00:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T05:05:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T05:10:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T05:15:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T05:20:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T05:25:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T05:30:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T05:35:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T05:40:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T05:45:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T05:50:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T05:55:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T06:00:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T06:05:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T06:10:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T06:15:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T06:20:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T06:25:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T06:30:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T06:35:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T06:40:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T06:45:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T06:50:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T06:55:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T07:00:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T07:05:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T07:10:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T07:15:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T07:20:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T07:25:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T07:30:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T07:35:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T07:40:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T07:45:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T07:50:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T07:55:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T08:00:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T08:05:00.0,-0.0,1.0,20.0,30.0,199.0
2019-01-01T08:10:00.0,-0.0,1.0,20.0,30.0,199.0
